"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jan 28 15:55:20 GMT 2023","Sat Jan 28 15:55:24 GMT 2023","4771","Surefire suite","Surefire test","tests.PasswordTest","tests.PasswordTest","verifyIRememberMyPassword","Verify the user is redirected to the Password page when clicking on I remember my password button",""
"broken","Sat Jan 28 15:58:43 GMT 2023","Sat Jan 28 15:59:14 GMT 2023","30282","Surefire suite","Surefire test","tests.HomeScreenTest","tests.HomeScreenTest","verifyInvoiceAndPaymentsUrl","Verify the user is redirected to the Invoice Payments page when clicking on Invoice Payments button",""
"broken","Sat Jan 28 16:00:31 GMT 2023","Sat Jan 28 16:01:01 GMT 2023","30348","Surefire suite","Surefire test","tests.HomeScreenTest","tests.HomeScreenTest","verifyNewPolicyMenuVisibility","Verify that the New Policy Menu is shown when clicking on Order Policies button",""
"failed","Sat Jan 28 16:01:06 GMT 2023","Sat Jan 28 16:01:37 GMT 2023","30457","Surefire suite","Surefire test","tests.HomeScreenTest","tests.HomeScreenTest","verifyNotificationsIcon","Verify that the Notifications Icon is displayed and clickable at the page corner",""
"failed","Sat Jan 28 15:54:45 GMT 2023","Sat Jan 28 15:54:48 GMT 2023","2458","Surefire suite","Surefire test","tests.LoginTest","tests.LoginTest","loginWithInvalidEmailFormat","Verify that login field accept valid email address format",""
"passed","Sat Jan 28 15:58:02 GMT 2023","Sat Jan 28 15:58:02 GMT 2023","711","Surefire suite","Surefire test","tests.HomeScreenTest","tests.HomeScreenTest","verifyHamburgerIcon","Verify that the Hamburger Icon is displayed and clickable at the page corner",""
"passed","Sat Jan 28 15:56:01 GMT 2023","Sat Jan 28 15:56:05 GMT 2023","4809","Surefire suite","Surefire test","tests.PasswordTest","tests.PasswordTest","verifyTheValidPassword","Verify the user is redirected to the Home page when entering valid password",""
"failed","Sat Jan 28 15:55:36 GMT 2023","Sat Jan 28 15:55:40 GMT 2023","4310","Surefire suite","Surefire test","tests.PasswordTest","tests.PasswordTest","verifyTheInValidPassword","Verify the error message when entering invalid password",""
"broken","Sat Jan 28 15:56:15 GMT 2023","Sat Jan 28 15:56:45 GMT 2023","30360","Surefire suite","Surefire test","tests.HomeScreenTest","tests.HomeScreenTest","verifyAccountSettingsUrl","Verify the user is redirected to the Account Details page when clicking on Account Settings button",""
"failed","Sat Jan 28 15:58:08 GMT 2023","Sat Jan 28 15:58:38 GMT 2023","30574","Surefire suite","Surefire test","tests.HomeScreenTest","tests.HomeScreenTest","verifyHomePageUrl","Verify the user is on the Home page",""
"passed","Sat Jan 28 15:55:11 GMT 2023","Sat Jan 28 15:55:16 GMT 2023","4741","Surefire suite","Surefire test","tests.PasswordTest","tests.PasswordTest","verifyHidePassword","Verify the user can hide the password after showing it",""
"passed","Sat Jan 28 15:54:57 GMT 2023","Sat Jan 28 15:54:59 GMT 2023","1667","Surefire suite","Surefire test","tests.LoginTest","tests.LoginTest","loginWithValidEmail","Verify the user is redirected to the Pin Code page when entering valid email",""
"broken","Sat Jan 28 15:59:19 GMT 2023","Sat Jan 28 15:59:49 GMT 2023","30347","Surefire suite","Surefire test","tests.HomeScreenTest","tests.HomeScreenTest","verifyManageUsersUrl","Verify the user is redirected to the Account Details page when clicking on Manage Users button",""
"passed","Sat Jan 28 15:55:03 GMT 2023","Sat Jan 28 15:55:07 GMT 2023","4289","Surefire suite","Surefire test","tests.PasswordTest","tests.PasswordTest","verifyForgotPassword","Verify the user is redirected to the Forgot Password page when clicking on forgot password button",""
"broken","Sat Jan 28 16:01:42 GMT 2023","Sat Jan 28 16:02:13 GMT 2023","30416","Surefire suite","Surefire test","tests.HomeScreenTest","tests.HomeScreenTest","verifyOrderNewPolicyWithIrelandProduct","Verify when the user selects the Ireland product is shown successfully",""
"failed","Sat Jan 28 15:55:52 GMT 2023","Sat Jan 28 15:55:57 GMT 2023","4268","Surefire suite","Surefire test","tests.PasswordTest","tests.PasswordTest","verifyTheIncorrectPassword","Verify the error message when entering incorrect password",""
"failed","Sat Jan 28 15:56:50 GMT 2023","Sat Jan 28 15:57:21 GMT 2023","30544","Surefire suite","Surefire test","tests.HomeScreenTest","tests.HomeScreenTest","verifyCampusIsDisplayed","Verify that the page Campus Name is displayed at the page corner",""
"broken","Sat Jan 28 15:57:26 GMT 2023","Sat Jan 28 15:57:56 GMT 2023","30466","Surefire suite","Surefire test","tests.HomeScreenTest","tests.HomeScreenTest","verifyGuardMeDocumentsUrl","Verify the user is redirected to the Guard.me Documents page when clicking on Guard.me Documents button",""
"passed","Sat Jan 28 15:55:28 GMT 2023","Sat Jan 28 15:55:32 GMT 2023","3987","Surefire suite","Surefire test","tests.PasswordTest","tests.PasswordTest","verifyShowPassword","Verify the user can show the password",""
"passed","Sat Jan 28 15:54:52 GMT 2023","Sat Jan 28 15:54:53 GMT 2023","1607","Surefire suite","Surefire test","tests.LoginTest","tests.LoginTest","loginWithNotExistEmail","Verify the login with not exist email address",""
"broken","Sat Jan 28 15:59:55 GMT 2023","Sat Jan 28 16:00:25 GMT 2023","30322","Surefire suite","Surefire test","tests.HomeScreenTest","tests.HomeScreenTest","verifyNameOfUser","Verify that the user name is displayed to on Home screen ",""
"failed","Sat Jan 28 15:55:44 GMT 2023","Sat Jan 28 15:55:49 GMT 2023","4517","Surefire suite","Surefire test","tests.PasswordTest","tests.PasswordTest","verifyTheInValidPasswordLength","Verify the error message when entering password with a few than 8 characters",""
