"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jan 03 09:17:08 GMT 2023","Tue Jan 03 09:17:11 GMT 2023","2707","Surefire suite","Surefire test","tests.VerifyPinTest","tests.VerifyPinTest","verifyGoBackButton","Verify that the user is redirected to the login page when clicking on the Go Back button",""
"broken","Tue Jan 03 09:17:40 GMT 2023","Tue Jan 03 09:18:14 GMT 2023","33954","Surefire suite","Surefire test","tests.VerifyPinTest","tests.VerifyPinTest","verifyWhenEnteringIncorrectPinCode","Verify the error message when entering incorrect pin code",""
"passed","Tue Jan 03 09:17:21 GMT 2023","Tue Jan 03 09:17:22 GMT 2023","1548","Surefire suite","Surefire test","tests.VerifyPinTest","tests.VerifyPinTest","verifyThatTheEmailIsDisplayedCorrectly","Verify that the email of the user displayed correctly if user used email method to login",""
"passed","Tue Jan 03 09:18:34 GMT 2023","Tue Jan 03 09:18:34 GMT 2023","542","Surefire suite","Surefire test","tests.HomeScreenTest","tests.HomeScreenTest","verifyGuardMeDocumentsUrl","Verify the user is redirected to the Guard.me Documents page when clicking on Guard.me Documents button",""
"broken","Tue Jan 03 09:21:17 GMT 2023","Tue Jan 03 09:21:48 GMT 2023","31470","Surefire suite","Surefire test","tests.LoginTest","tests.LoginTest","loginWithNotExistEmail","Verify the login with not exist email address",""
"passed","Tue Jan 03 09:19:07 GMT 2023","Tue Jan 03 09:19:08 GMT 2023","641","Surefire suite","Surefire test","tests.HomeScreenTest","tests.HomeScreenTest","verifyNewPolicyMenuVisibility","Verify that the New Policy Menu is shown when clicking on Order Policies button",""
"passed","Tue Jan 03 09:17:33 GMT 2023","Tue Jan 03 09:17:36 GMT 2023","3453","Surefire suite","Surefire test","tests.VerifyPinTest","tests.VerifyPinTest","verifyWhenEnteringAnySixCharacters","Verify that the pin code input fields accept valid code digits",""
"passed","Tue Jan 03 09:19:25 GMT 2023","Tue Jan 03 09:19:27 GMT 2023","1671","Surefire suite","Surefire test","tests.HomeScreenTest","tests.HomeScreenTest","verifyOrderNewPolicyWithMultiRiskAndCancellationProduct","Verify when the user selects the Multi Risk + Cancellation product is shown successfully",""
"passed","Tue Jan 03 09:20:05 GMT 2023","Tue Jan 03 09:20:08 GMT 2023","3716","Surefire suite","Surefire test","tests.PasswordTest","tests.PasswordTest","verifyShowPassword","Verify the user can show the password",""
"passed","Tue Jan 03 09:21:04 GMT 2023","Tue Jan 03 09:21:08 GMT 2023","4192","Surefire suite","Surefire test","tests.PasswordTest","tests.PasswordTest","verifyTheValidPassword","Verify the user is redirected to the Home page when entering valid password",""
"passed","Tue Jan 03 09:19:57 GMT 2023","Tue Jan 03 09:20:01 GMT 2023","4036","Surefire suite","Surefire test","tests.PasswordTest","tests.PasswordTest","verifyIRememberMyPassword","Verify the user is redirected to the Password page when clicking on I remember my password button",""
"passed","Tue Jan 03 09:21:52 GMT 2023","Tue Jan 03 09:21:53 GMT 2023","1351","Surefire suite","Surefire test","tests.LoginTest","tests.LoginTest","loginWithValidEmail","Verify the user is redirected to the Pin Code page when entering valid email",""
"passed","Tue Jan 03 09:18:39 GMT 2023","Tue Jan 03 09:18:40 GMT 2023","121","Surefire suite","Surefire test","tests.HomeScreenTest","tests.HomeScreenTest","verifyHamburgerIcon","Verify that the Hamburger Icon is displayed and clickable at the page corner",""
"passed","Tue Jan 03 09:19:13 GMT 2023","Tue Jan 03 09:19:13 GMT 2023","276","Surefire suite","Surefire test","tests.HomeScreenTest","tests.HomeScreenTest","verifyNotificationsIcon","Verify that the Notifications Icon is displayed and clickable at the page corner",""
"passed","Tue Jan 03 09:18:45 GMT 2023","Tue Jan 03 09:18:45 GMT 2023","132","Surefire suite","Surefire test","tests.HomeScreenTest","tests.HomeScreenTest","verifyHomePageUrl","Verify the user is on the Home page",""
"passed","Tue Jan 03 09:18:56 GMT 2023","Tue Jan 03 09:18:57 GMT 2023","632","Surefire suite","Surefire test","tests.HomeScreenTest","tests.HomeScreenTest","verifyManageUsersUrl","Verify the user is redirected to the Account Details page when clicking on Manage Users button",""
"passed","Tue Jan 03 09:19:43 GMT 2023","Tue Jan 03 09:19:46 GMT 2023","3699","Surefire suite","Surefire test","tests.PasswordTest","tests.PasswordTest","verifyForgotPassword","Verify the user is redirected to the Forgot Password page when clicking on forgot password button",""
"passed","Tue Jan 03 09:18:29 GMT 2023","Tue Jan 03 09:18:29 GMT 2023","139","Surefire suite","Surefire test","tests.HomeScreenTest","tests.HomeScreenTest","verifyCampusIsDisplayed","Verify that the page Campus Name is displayed at the page corner",""
"passed","Tue Jan 03 09:19:18 GMT 2023","Tue Jan 03 09:19:20 GMT 2023","1612","Surefire suite","Surefire test","tests.HomeScreenTest","tests.HomeScreenTest","verifyOrderNewPolicyWithIrelandProduct","Verify when the user selects the Ireland product is shown successfully",""
"passed","Tue Jan 03 09:21:12 GMT 2023","Tue Jan 03 09:21:13 GMT 2023","1250","Surefire suite","Surefire test","tests.LoginTest","tests.LoginTest","loginWithInvalidEmailFormat","Verify that login field accept valid email address format",""
"broken","Tue Jan 03 09:20:27 GMT 2023","Tue Jan 03 09:21:01 GMT 2023","33940","Surefire suite","Surefire test","tests.PasswordTest","tests.PasswordTest","verifyTheIncorrectPassword","Verify the error message when entering incorrect password",""
"passed","Tue Jan 03 09:19:50 GMT 2023","Tue Jan 03 09:19:54 GMT 2023","4182","Surefire suite","Surefire test","tests.PasswordTest","tests.PasswordTest","verifyHidePassword","Verify the user can hide the password after showing it",""
"failed","Tue Jan 03 09:20:12 GMT 2023","Tue Jan 03 09:20:16 GMT 2023","4251","Surefire suite","Surefire test","tests.PasswordTest","tests.PasswordTest","verifyTheInValidPassword","Verify the error message when entering invalid password",""
