"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Jun 01 15:24:27 GMT 2023","Thu Jun 01 15:24:47 GMT 2023","20236","Surefire suite","Surefire test","tests.HomeScreenTest","tests.HomeScreenTest","verifyHamburgerIcon","Verify that the Hamburger Icon is displayed and clickable at the page corner",""
"broken","Thu Jun 01 15:34:17 GMT 2023","Thu Jun 01 15:34:37 GMT 2023","20184","Surefire suite","Surefire test","tests.LoginTest","tests.LoginTest","loginWithValidEmail","Verify the user is redirected to the Pin Code page when entering valid email",""
"failed","Thu Jun 01 15:23:37 GMT 2023","Thu Jun 01 15:23:57 GMT 2023","20405","Surefire suite","Surefire test","tests.HomeScreenTest","tests.HomeScreenTest","verifyCampusIsDisplayed","Verify that the page Campus Name is displayed at the page corner",""
"broken","Thu Jun 01 15:25:46 GMT 2023","Thu Jun 01 15:26:07 GMT 2023","20181","Surefire suite","Surefire test","tests.HomeScreenTest","tests.HomeScreenTest","verifyManagePoliciesUrl","Verify the user is redirected to the Manage Policies page when clicking on Manage Policies button",""
"broken","Thu Jun 01 15:23:12 GMT 2023","Thu Jun 01 15:23:33 GMT 2023","20216","Surefire suite","Surefire test","tests.HomeScreenTest","tests.HomeScreenTest","verifyAccountSettingsUrl","Verify the user is redirected to the Account Details page when clicking on Account Settings button",""
"broken","Thu Jun 01 15:26:11 GMT 2023","Thu Jun 01 15:26:31 GMT 2023","20124","Surefire suite","Surefire test","tests.HomeScreenTest","tests.HomeScreenTest","verifyManageUsersUrl","Verify the user is redirected to the Account Details page when clicking on Manage Users button",""
"broken","Thu Jun 01 15:27:25 GMT 2023","Thu Jun 01 15:27:45 GMT 2023","20167","Surefire suite","Surefire test","tests.HomeScreenTest","tests.HomeScreenTest","verifyOrderNewPoliciesVisibility","Verify that the Order New Policies is shown when clicking on Order Policies button",""
"broken","Thu Jun 01 15:27:53 GMT 2023","Thu Jun 01 15:28:13 GMT 2023","20183","Surefire suite","Surefire test","tests.PasswordTest","tests.PasswordTest","verifyForgotPassword","Verify the user is redirected to the Forgot Password page when clicking on forgot password button",""
"broken","Thu Jun 01 15:30:17 GMT 2023","Thu Jun 01 15:30:37 GMT 2023","20282","Surefire suite","Surefire test","tests.PasswordTest","tests.PasswordTest","verifyTheIncorrectPassword","Verify the error message when entering incorrect password",""
"broken","Thu Jun 01 15:26:35 GMT 2023","Thu Jun 01 15:26:55 GMT 2023","20217","Surefire suite","Surefire test","tests.HomeScreenTest","tests.HomeScreenTest","verifyNameOfUser","Verify that the user name is displayed to on Home screen ",""
