"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jan 03 07:06:41 GMT 2023","Tue Jan 03 07:06:43 GMT 2023","2521","Surefire suite","Surefire test","tests.HomeScreenTest","tests.HomeScreenTest","verifyManageUsersUrl","Verify the user is redirected to the Account Details page when clicking on Manage Users button",""
"passed","Tue Jan 03 07:06:48 GMT 2023","Tue Jan 03 07:06:48 GMT 2023","70","Surefire suite","Surefire test","tests.HomeScreenTest","tests.HomeScreenTest","verifyNameOfUser","Verify that the user name is displayed to on Home screen ",""
"passed","Tue Jan 03 07:09:00 GMT 2023","Tue Jan 03 07:09:02 GMT 2023","1187","Surefire suite","Surefire test","tests.LoginTest","tests.LoginTest","loginWithInvalidEmailFormat","Verify that login field accept valid email address format",""
"passed","Tue Jan 03 07:07:43 GMT 2023","Tue Jan 03 07:07:47 GMT 2023","4087","Surefire suite","Surefire test","tests.PasswordTest","tests.PasswordTest","verifyIRememberMyPassword","Verify the user is redirected to the Password page when clicking on I remember my password button",""
"broken","Tue Jan 03 07:08:14 GMT 2023","Tue Jan 03 07:08:49 GMT 2023","34263","Surefire suite","Surefire test","tests.PasswordTest","tests.PasswordTest","verifyTheIncorrectPassword","Verify the error message when entering incorrect password",""
"passed","Tue Jan 03 07:08:52 GMT 2023","Tue Jan 03 07:08:57 GMT 2023","4374","Surefire suite","Surefire test","tests.PasswordTest","tests.PasswordTest","verifyTheValidPassword","Verify the user is redirected to the Home page when entering valid password",""
"passed","Tue Jan 03 07:09:41 GMT 2023","Tue Jan 03 07:09:42 GMT 2023","1082","Surefire suite","Surefire test","tests.LoginTest","tests.LoginTest","loginWithValidEmail","Verify the user is redirected to the Pin Code page when entering valid email",""
"passed","Tue Jan 03 07:06:53 GMT 2023","Tue Jan 03 07:06:54 GMT 2023","695","Surefire suite","Surefire test","tests.HomeScreenTest","tests.HomeScreenTest","verifyNewPolicyMenuVisibility","Verify that the New Policy Menu is shown when clicking on Order Policies button",""
"passed","Tue Jan 03 07:03:33 GMT 2023","Tue Jan 03 07:03:34 GMT 2023","1426","Surefire suite","Surefire test","tests.VerifyPinTest","tests.VerifyPinTest","verifyThatTheEmailIsDisplayedCorrectly","Verify that the email of the user displayed correctly if user used email method to login",""
"failed","Tue Jan 03 07:06:28 GMT 2023","Tue Jan 03 07:06:29 GMT 2023","423","Surefire suite","Surefire test","tests.HomeScreenTest","tests.HomeScreenTest","verifyHomePageUrl","Verify the user is on the Home page",""
"passed","Tue Jan 03 07:07:51 GMT 2023","Tue Jan 03 07:07:55 GMT 2023","3673","Surefire suite","Surefire test","tests.PasswordTest","tests.PasswordTest","verifyShowPassword","Verify the user can show the password",""
"passed","Tue Jan 03 07:07:36 GMT 2023","Tue Jan 03 07:07:40 GMT 2023","4062","Surefire suite","Surefire test","tests.PasswordTest","tests.PasswordTest","verifyHidePassword","Verify the user can hide the password after showing it",""
"passed","Tue Jan 03 07:07:25 GMT 2023","Tue Jan 03 07:07:25 GMT 2023","127","Surefire suite","Surefire test","tests.HomeScreenTest","tests.HomeScreenTest","verifyPageLogo","Verify that the page Logo is displayed at the page corner",""
"passed","Tue Jan 03 07:06:23 GMT 2023","Tue Jan 03 07:06:24 GMT 2023","738","Surefire suite","Surefire test","tests.HomeScreenTest","tests.HomeScreenTest","verifyHamburgerIcon","Verify that the Hamburger Icon is displayed and clickable at the page corner",""
"passed","Tue Jan 03 07:06:34 GMT 2023","Tue Jan 03 07:06:35 GMT 2023","1531","Surefire suite","Surefire test","tests.HomeScreenTest","tests.HomeScreenTest","verifyInvoiceAndPaymentsUrl","Verify the user is redirected to the Invoice Payments page when clicking on Invoice Payments button",""
