"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun Dec 25 23:10:08 GMT 2022","Sun Dec 25 23:10:08 GMT 2022","212","Surefire suite","Surefire test","tests.HomeScreenTest","tests.HomeScreenTest","verifyHomePageUrl","Verify the user is on the Home page",""
"passed","Sun Dec 25 23:15:10 GMT 2022","Sun Dec 25 23:15:13 GMT 2022","3084","Surefire suite","Surefire test","tests.PasswordTest","tests.PasswordTest","verifyShowPassword","Verify the user can show the password",""
"passed","Sun Dec 25 23:07:10 GMT 2022","Sun Dec 25 23:07:12 GMT 2022","2105","Surefire suite","Surefire test","tests.VerifyPinTest","tests.VerifyPinTest","verifyGoBackButton","Verify that the user is redirected to the login page when clicking on the Go Back button",""
"broken","Sun Dec 25 23:11:20 GMT 2022","Sun Dec 25 23:11:51 GMT 2022","30597","Surefire suite","Surefire test","tests.HomeScreenTest","tests.HomeScreenTest","verifyNameOfUser","Verify that the user name is displayed to on Home screen ",""
"passed","Sun Dec 25 23:07:25 GMT 2022","Sun Dec 25 23:07:28 GMT 2022","2956","Surefire suite","Surefire test","tests.VerifyPinTest","tests.VerifyPinTest","verifyThePinCode","Verify the user is redirected to the Password page when entering valid Pin Code",""
"failed","Sun Dec 25 23:15:17 GMT 2022","Sun Dec 25 23:15:20 GMT 2022","3665","Surefire suite","Surefire test","tests.PasswordTest","tests.PasswordTest","verifyTheInValidPassword","Verify the error message when entering invalid password",""
"failed","Sun Dec 25 23:08:54 GMT 2022","Sun Dec 25 23:09:24 GMT 2022","30548","Surefire suite","Surefire test","tests.HomeScreenTest","tests.HomeScreenTest","verifyCampusIsDisplayed","Verify that the page Campus Name is displayed at the page corner",""
"failed","Sun Dec 25 23:12:29 GMT 2022","Sun Dec 25 23:13:00 GMT 2022","30960","Surefire suite","Surefire test","tests.HomeScreenTest","tests.HomeScreenTest","verifyNotificationsIcon","Verify that the Notifications Icon is displayed and clickable at the page corner",""
"passed","Sun Dec 25 23:15:04 GMT 2022","Sun Dec 25 23:15:07 GMT 2022","3188","Surefire suite","Surefire test","tests.PasswordTest","tests.PasswordTest","verifyIRememberMyPassword","Verify the user is redirected to the Password page when clicking on I remember my password button",""
"passed","Sun Dec 25 23:14:48 GMT 2022","Sun Dec 25 23:14:48 GMT 2022","649","Surefire suite","Surefire test","tests.HomeScreenTest","tests.HomeScreenTest","verifyPageLogo","Verify that the page Logo is displayed at the page corner",""
