"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Jun 01 15:15:40 GMT 2023","Thu Jun 01 15:16:00 GMT 2023","20088","Surefire suite","Surefire test","tests.HomeScreenTest","tests.HomeScreenTest","verifyInvoiceAndPaymentsUrl","Verify the user is redirected to the Invoice Payments page when clicking on Invoice Payments button",""
"failed","Thu Jun 01 15:14:04 GMT 2023","Thu Jun 01 15:14:24 GMT 2023","20465","Surefire suite","Surefire test","tests.HomeScreenTest","tests.HomeScreenTest","verifyCampusIsDisplayed","Verify that the page Campus Name is displayed at the page corner",""
"broken","Thu Jun 01 15:13:12 GMT 2023","Thu Jun 01 15:13:32 GMT 2023","20135","Surefire suite","Surefire test","tests.LoginTest","tests.LoginTest","loginWithValidEmail","Verify the user is redirected to the Pin Code page when entering valid email",""
"broken","Thu Jun 01 15:08:54 GMT 2023","Thu Jun 01 15:09:14 GMT 2023","20203","Surefire suite","Surefire test","tests.PasswordTest","tests.PasswordTest","verifyTheInValidPasswordLength","Verify the error message when entering password with a few than 8 characters",""
"broken","Thu Jun 01 15:12:49 GMT 2023","Thu Jun 01 15:13:09 GMT 2023","20109","Surefire suite","Surefire test","tests.LoginTest","tests.LoginTest","loginWithNotExistEmail","Verify the login with not exist email address",""
"broken","Thu Jun 01 15:10:28 GMT 2023","Thu Jun 01 15:10:48 GMT 2023","20060","Surefire suite","Surefire test","tests.VerifyPinTest","tests.VerifyPinTest","verifyResendPinButton","Verify that the resend pin button is clickable",""
"broken","Thu Jun 01 15:10:04 GMT 2023","Thu Jun 01 15:10:25 GMT 2023","20241","Surefire suite","Surefire test","tests.VerifyPinTest","tests.VerifyPinTest","verifyGoBackButton","Verify that the user is redirected to the login page when clicking on the Go Back button",""
"broken","Thu Jun 01 15:06:57 GMT 2023","Thu Jun 01 15:07:17 GMT 2023","20350","Surefire suite","Surefire test","tests.PasswordTest","tests.PasswordTest","verifyForgotPassword","Verify the user is redirected to the Forgot Password page when clicking on forgot password button",""
"broken","Thu Jun 01 15:16:28 GMT 2023","Thu Jun 01 15:16:48 GMT 2023","20081","Surefire suite","Surefire test","tests.HomeScreenTest","tests.HomeScreenTest","verifyManageUsersUrl","Verify the user is redirected to the Account Details page when clicking on Manage Users button",""
"broken","Thu Jun 01 15:09:18 GMT 2023","Thu Jun 01 15:09:38 GMT 2023","20119","Surefire suite","Surefire test","tests.PasswordTest","tests.PasswordTest","verifyTheIncorrectPassword","Verify the error message when entering incorrect password",""
"broken","Thu Jun 01 15:10:52 GMT 2023","Thu Jun 01 15:11:12 GMT 2023","20228","Surefire suite","Surefire test","tests.VerifyPinTest","tests.VerifyPinTest","verifyThatTheEmailIsDisplayedCorrectly","Verify that the email of the user displayed correctly if user used email method to login",""
"broken","Thu Jun 01 15:14:28 GMT 2023","Thu Jun 01 15:14:48 GMT 2023","20099","Surefire suite","Surefire test","tests.HomeScreenTest","tests.HomeScreenTest","verifyGuardMeDocumentsUrl","Verify the user is redirected to the Guard.me Documents page when clicking on Guard.me Documents button",""
"broken","Thu Jun 01 15:13:39 GMT 2023","Thu Jun 01 15:13:59 GMT 2023","20159","Surefire suite","Surefire test","tests.HomeScreenTest","tests.HomeScreenTest","verifyAccountSettingsUrl","Verify the user is redirected to the Account Details page when clicking on Account Settings button",""
"broken","Thu Jun 01 15:07:20 GMT 2023","Thu Jun 01 15:07:41 GMT 2023","20216","Surefire suite","Surefire test","tests.PasswordTest","tests.PasswordTest","verifyHidePassword","Verify the user can hide the password after showing it",""
"broken","Thu Jun 01 15:16:04 GMT 2023","Thu Jun 01 15:16:24 GMT 2023","20125","Surefire suite","Surefire test","tests.HomeScreenTest","tests.HomeScreenTest","verifyManagePoliciesUrl","Verify the user is redirected to the Manage Policies page when clicking on Manage Policies button",""
